LGL_NM,Total_ITM_TOT_AM,Total_QUANTITY,Count_PURCHASE_ORDER
RIVERCITY SPORTSWEAR LLC,3138.74,0.0,10
BRENNTAG SOUTHWEST INC,3129.4,2000.0,1
RUSH TRUCK CENTER - AUSTIN,3104.0,0.0,1
CENVEO CORPORATION,3097.0,0.0,4
COMPU SIGNS,3087.5,10.0,4
"Instrument Technology, Inc.",3055.0,0.0,1
CAPITOL BEARING SERVICE,3047.95,2.0,4
Compact Construction Equipment Inc,3031.16,0.0,1
EQUIPMENT DEPOT,3030.6800000000003,2.0,4
JF FILTRATION INC,3022.8,172.0,8
"Amatra Technologies, Inc",2997.0,1.0,1
MAXWELL FORD L T D,2995.25,22.0,18
"Eagle Engraving, Inc.",2994.66,0.0,2
W2 Design Build LLC,2970.0,0.0,2
Invarion Inc.,2970.0,1.0,1
CC LYNCH & ASSOC INC,2960.73,1.0,2
ARCMATE MANUFACTURING CORP,2955.0,0.0,1
IMAGING PRODUCTS INTERNATIONAL,2901.0,0.0,1
CALLAWAY GOLF,2898.65,0.0,1
DUNCAN PARKING TECHNOLOGIES INC,2885.6,0.0,2
CMS COMMUNICATIONS INC,2871.5,11.0,8
VWR INTERNATIONAL LLC,2852.73,282.96999999999997,11
"Classic Forms and Products, Inc",2849.5,0.0,2
EDUCATORS DEPOT INC.,2840.0,0.0,1
RISCO SUPPLY CO INC,2820.0,1008.0,3
"Cityzen Solutions, Inc.",2800.0,1.0,1
GOVERNMENT SCIENTIFIC SOURCE INC,2781.75,90.0,5
CITY SUPPLY CO,2775.06,12.0,4
TRANTEX TRANSPORTATION PRODUCTS OF TEXAS INC,2740.0,0.0,2
WESTCOAST ROTOR INC,2691.0,2.0,2
LTH ENTERPRISES LTD,2686.25,25.0,1
GALLS LLC,2675.0,6.0,2
APPLIED INDUSTRIAL TECHNOLOGIES,2667.7,62.0,6
"Comstar Supply, Inc.",2667.0,330.0,2
HARVEY-DACO,2666.13,0.0,2
FREEMAN DECORATING CO,2659.0,2.0,2
BRITE VISUAL PRODUCTS INC,2634.82,0.0,1
"Bag-A-Nut, LLC",2632.96,4.0,1
PBC OPERATIONS LP,2600.0,2600.0,1
ABSOLUTE STANDARDS INC,2585.0,2585.0,3
CALENCE L L C,2572.0299999999997,11.0,5
STATE FIREMEN'S & FIRE,2571.0,492.0,2
SID TOOL CO INC,2569.08,6777.0,16
AUSTIN WINNELSON,2561.54,0.0,1
HD SUPPLY WATERWORKS LTD,2540.66,280.0,5
"immixTechnology, Inc.",2533.35,1.0,1
IDEXX LABORATORIES INC,2531.98,1.0,3
THE VERNON CO,2529.96,302.0,4
Loop1 Systems Inc,2516.8,0.0,2
RECREATION SUPPLY COMPANY,2516.6,0.0,1
Cypress Creek Volunteer Fire Department,2500.0,0.0,1
NEIMAN ENVIRONMENTS INC,2500.0,5000.0,2
"Makerbot Industries, LLC",2499.0,1.0,1
AUSTIN MUSIC FOUNDATION,2495.0,0.0,1
COOLSTUFF,2495.0,0.0,1
JOHN BEAN TECHNOLOGIES CORPORATION,2480.45,1.0,1
AUTHENTIC PROMOTIONS.COM,2475.0,2500.0,1
SASE COMPANY INC,2462.61,16.0,9
SECURENET INC,2457.5,0.0,1
Awe Acquisition Inc,2450.0,1.0,1
MUNICIPAL EMERGENCY SERVICES,2428.43,1.0,1
PELCO INC,2422.6,2213.25,2
ALLIED PLASTIC SUPPLY INC,2400.0,12.0,2
EXECUTIVE INFORMATION SYSTEMS LLC,2400.0,1.0,1
MTS SAFETY PRODUCTS,2377.99,0.0,1
TEXAS UNDERGROUND INC,2358.8,2.0,2
AUSTIN EQUIPMENT COMPANY LC,2354.36,0.0,1
Genetec Inc.,2351.37,3.0,4
PUTSI INC,2332.26,0.0,1
RELM Wireless Corporation,2316.6,60.0,3
NEUTRAL POSTURE INC,2303.8,2.0,3
ALCO OPERATIONS,2245.04,4.0,6
Catchpoint Systems Inc,2230.18,1.0,1
AUSTIN PUMP & SUPPLY CO,2210.0,1.0,1
"SBH MEDICAL, LTD",2205.0,215.0,2
Cortz. Inc.,2196.0,0.0,1
JAMES PARKER,2162.24,1888.94,6
William Rowe Henry,2150.0,0.0,1
"DFI Signs of Texas, LLC",2133.3,85.0,2
Southwest Research Institute,2128.07,0.0,1
LANFORD EQUIPMENT CO INC,2127.66,19.0,7
NEPTUNE CHEMICAL PUMP COMPANY,2117.17,4.0,3
AUSTIN MACFAB INC,2115.0,1.0,5
Home Intensive Care Pharmacy,2100.0,28.0,1
Asher Novek,2100.0,0.0,2
COMMERCIAL CHEMICAL PRODUCTS INC,2098.1,0.0,3
ACOM SOLUTIONS INC,2082.0,6.0,2
"Rexel USA, Inc.",2068.8,160.0,1
ADAPT CONSULTING INC,2047.5,5250.0,1
JERSEY EQUIPMENT CO OF HOUSTON,2044.5,3.0,2
BAT CITY AWARDS INC,2033.4,1043.5,5
TELE-COMMUNICATION INC,2020.6,4.0,2
AUSTIN POLICE COMMUNITY LIAISON CORPORATION,2000.0,0.0,1
ROBERT P GELERNTER,2000.0,2.0,1
Del A. Anzaldua,2000.0,2500.0,1
360 Innovative Solutions Inc,1989.0,1.0,1
"B&E Medical Supply and Equipment, LLC",1976.0,19.0,1
PARA SCIENTIFIC CO,1974.6,36.0,1
Lubricant Product & Supplies LLC,1972.2,0.0,2
Austin Extreme Graphics,1961.0,0.0,1
Multisports Inc.,1960.0,70.0,3
AGILENT TECHNOLOGIES INC,1957.5,1.0,1
"Mesh, Inc",1950.85,0.0,1
CENTEX MATERIALS L L C,1942.8,0.0,1
EXPOTECH U S A INC,1935.0,36.0,1
MUNICIPAL WATER WORKS SUPPLY LP,1926.0,400.0,1
LAERDAL MEDICAL CORP,1907.25,102.0,3
KEYSTONE (US) MANAGEMENT,1899.39,7.0,5
EMP Industries Inc.,1896.24,2.0,1
AUS-TEX PRINTING & MAILING INC,1880.1100000000001,89.0,4
JANITOR'S WAREHOUSE,1880.0,0.0,1
KIMBALL INTERNATIONAL MARKETING INC,1873.34,4.0,4
BRIDGEFARMERS INC,1868.0,0.0,1
ERCOT INC,1861.58,0.0,1
SAFEGUARD UNIVERSAL LLC,1860.0,3000.0,1
CPAT DISTRIBUTION INC,1835.85,0.0,1
FORESTRY SUPPLIERS INC,1810.75,1332.31,4
Namtek Corp.,1806.0,6.0,3
EIMCO WATER TECHNOLOGIES,1802.0,20.0,1
FASTENAL COMPANY,1801.5900000000001,1004.0,4
"AGS Associates, LLC",1794.0,2.0,1
"VoiceInterop, Inc.",1790.0,2.0,2
"Icon Health & Fitness, Inc.",1784.04,0.0,1
HUMANSCALE CORPORATION,1783.5,3.0,1
UNDERGROUND INC,1757.26,17.0,3
DEWALCH TECHNOLOGIES INC,1750.0,200.0,1
TRANE U.S. INC.,1745.92,0.0,4
RADIOTRONICS INC,1739.0,0.0,2
Copper River Information Technology LLC,1737.76,5.0,2
AQUAM AQUATIC SPECIALIST INC,1725.0,0.0,1
NATURE ENTERPRISES LLC,1721.48,4.0,4
"JabberComm, Inc.",1705.38,14.0,7
MTS SAFETY PRODUCTS INC,1698.0,0.0,1
HARD TARGET SYSTEMS INC,1690.6,0.0,3
Elliott Electric Supply Inc,1665.59,3.0,3
Secure Products Corp,1645.0,80.0,2
TOMAR ELECTRONICS INC,1640.0,18.0,5
ENTECH POWER SYSTEMS INC,1635.37,1.0,1
MCKESSON MEDICAL-SURGICAL INC,1623.67,826.03,5
ASSOCIATED TIME & PARKING,1620.0,20.0,1
PARADIGM TRAFFIC SYSTEMS INC,1600.0,25.0,1
PARABEN CORP,1595.0,1.0,1
RICOH USA INC,1593.72,5.0,5
CHRIS REED,1593.0,0.0,1
PC MALL GOV,1580.22,3.0,3
COMM-FIT LP,1564.29,1.0,1
TEXAS HIGHWAY PRODUCTS LTD,1561.1999999999998,48.0,2
INTERNATIONAL PRINT & PACKAGING INC,1522.4,0.0,1
JAE CONSTRUCTION INC,1522.12,0.0,1
"Infinity Conversions, LLC.",1500.0,0.0,1
"Locus Diagnostics, LLC",1497.0,3.0,1
TEEDSHIRTS INC,1494.5,0.0,1
DOOR CONTROL SERVICES INC,1494.0,3.0,1
AMERICAN MINORITY BUSINESS FORMS INC,1491.05,3001.0,5
JOHN W GASPARINI INC,1484.21,7.0,3
PRINTGLOBE INC,1481.83,0.0,1
ACT PIPE & SUPPLY INC,1477.5,205.0,2
"ConvergeOne, Inc",1445.36,0.0,1
AUSTEX AUTO PARTS INC,1420.66,81.0,24
DIGITAL INTELLIGENCE INC,1419.0,1.0,1
"PROMO WORLD, LLC",1417.5,450.0,1
Orolia USA Inc.,1390.0,2.0,1
S. R. Anderson Enterprises Inc.,1387.7,2.0,1
CUSTOM ENVELOPES INC,1368.75,62.5,1
BELLS ADVERTISING INC,1355.4,0.0,1
Sheree L Kirsch,1339.54,1000.0,1
MYERS POWER PRODUCTS INC,1320.0,4.0,1
Cynthia Gayle Wilkinson Moreno,1315.21,1.0,1
DATA MANAGEMENT INC,1298.0,2.0,2
METRIX INSTRUMENT CO,1297.0,1297.0,1
COLVIN PAINOVICH LP,1289.13,0.0,3
POWER TECHTRONICS L P,1289.0,1.0,1
SUPERCIRCUITS INC,1287.89,820.94,2
Exact Marketing Inc,1285.0,69.0,2
NUNN ELECTRIC SUPPLY,1270.5,110.0,1
RLS SERVICES INC,1270.02,0.0,2
AVO MULTI-AMP CORP,1269.03,1.0,1
SafetyDepot.com LLC,1243.7,70.0,8
Ira Green Inc.,1243.35,45.0,1
INTERNATIONAL CODE COUNCIL INC,1237.08,1237.08,1
PROMOTIT PROMOTIONS LLC,1225.0,0.0,1
"IDenticard Systems Worldwide, Inc.",1205.0,3000.0,4
AUSTEX OFFICE PRODUCTS INC,1200.01,4.0,2
"Vocera Communications, Inc.",1200.0,4.0,2
CENTRAL TEXAS EQUIPMENT,1198.8,0.0,2
AHEAD INC,1198.45,0.0,1
ARCHITECTURAL COMPUTER SERVICES INC,1188.0,1.0,1
UNITED RENTALS NORTHWEST INC,1186.88,464.84000000000003,5
CHECKPOINT SERVICES INC,1185.98,7.0,3
DOUBLE TUFF TRUCK TARPS INC,1184.0,0.0,2
N BUSINESS GRAPHICS,1175.0,15.0,2
TEXAS WIRED MUSIC INC,1170.0,2.0,2
DEALERS TRUCK EQUIPMENT CO INC,1149.95,2.0,2
VIKING FENCE CO LTD,1129.7,1129.7,2
SCHNEIDER ELECTRIC USA INC,1129.5700000000002,2.0,2
ELLIOTT ELECTRIC SUPPLY,1128.83,3.0,2
OZARK RESCUE SUPPLIERS INC,1113.0,0.0,1
PUFFER-SWEIVEN L P,1103.41,1.0,1
"Cohesive Automation, Inc.",1102.0,3.0,2
HOLT TEXAS LTD,1099.3000000000002,2.0,2
INTERNATIONAL BUSINESS MACHINES CORPORATION,1097.0,1.0,1
ARIES INDUSTRIES INC,1067.82,1.0,1
GENESIS TECHNOLOGIES INC,1059.9,2.0,1
SHARON PIKE,1041.75,9.0,5
LAB SAFETY SUPPLY INC,1023.03,0.0,1
ELEVEN EAST CORP,1016.37,0.0,1
NATIONAL BUSINESS FURNITURE LLC,1013.94,3.0,1
DRI-STICK DECAL CORP,1012.96,500.0,2
TELEDYNE ISCO INC,1005.0,0.0,1
TRAFFICWARE LTD,999.0,1.0,1
STRAIT MUSIC CO,999.0,0.0,1
DUSTLESS AIR FILTER COMPANY,998.62,998.62,2
ALTEX ELECTRONICS L T D,998.0,0.0,2
HIGHSMITH CO INC (THE),996.2,3.0,2
World Of Promotions,994.5,125.0,3
"Belson Outdoors, Inc.",988.0,0.0,1
NATIONAL SAFETY COUNCIL,975.0,250.0,2
EXPRESS TURF MAINTENANCE,974.25,0.0,2
CINTAS CORPORATION NO. 2,972.26,154.0,2
JOSEPH M KOCH CO,953.28,336.0,4
"Sufian Munir, Inc.",945.0,1.0,1
"Allen Systems, LLC",945.0,0.0,1
ALL AMERICAN SALES CORP,943.5,6.0,1
"Bell Electrical Supply Co., Inc.",940.0,11.0,2
TOP GUNN EQUIPMENT RENTALS INC,937.3,5.0,1
David W. Dillard,932.7,0.0,1
EUGENE WELDERS SUPPLY CO INC,930.1800000000001,13.0,5
FULL COMPASS SYSTEMS LTD,926.0,5.0,2
GRAEBEL SAN ANTONIO MOVERS INC,923.0,1.0,1
DAVID E BARRIENTOS,900.0,150.0,1
HARRIS CORP,900.0,2.0,1
CATHERINE FARRELL MARATTA,900.0,0.0,1
BRIDGESTONE AMERICAS INC,899.41,1.0,1
"BAC Tracker International, Inc.",899.0,1.0,1
Security Equipment Supply Inc,897.65,4.0,3
NATIONAL ENVELOPE CORPORATION,895.15,2.5,2
RYDIN DECAL,892.53,1150.0,3
BAUDVILLE INC,885.29,15.0,5
LAUREN CONCRETE INC,885.0,0.0,1
AMERICAN FASTENERS INC,880.4100000000001,571.12,5
MILLER IMAGING & DIGITAL SOLUTIONS INC,867.0,2.0,1
COMPLETE BOOK & MEDIA SUPPLY,855.47,11.0,1
MYERS TIRE SUPPLY DISTRIBUTION INC,855.0,1.0,1
Peripheral Logix,848.95,1.0,1
"SEARS, ROEBUCK AND CO",847.0,1.0,2
AUSTIN GRAPHICS L L C,845.78,1.0,1
SCHOOLHOUSE OUTFITTERS L L C,834.41,0.0,2
S & C ELECTRIC CO,831.0,1.0,1
HIGHWAY TECHNOLOGIES INC,825.0,30.0,1
Nexlink Communications LLC,821.5,0.0,1
LIFEGUARD STORE INC (THE),821.0,0.0,1
CIRCUIT BREAKER SALES & REPAIR,812.5,2.0,1
Magdalena Mar Summers,805.52,0.0,1
MCKENZIE COMPRESSED AIR SOLUTIONS INC,801.34,2.0,1
MCCAIN INC,800.0,4.0,1
COVERT FORD INC,797.07,0.0,1
"Identity Links, Inc",795.2,0.0,1
FINDAWAY WORLD LLC,794.88,0.0,2
PG Creator LLC,784.95,15.0,1
PAT'S SHEET METAL SHOP,775.0,2.0,4
TRANSOFT SOLUTIONS INC,770.0,1.0,1
"Rescue Tech 1, Inc.",768.95,0.0,1
FRY'S ELECTRONICS,759.96,4.0,1
973 MATERIALS LLC,754.63,120.74,1
DC INTERIORS,749.78,0.0,1
CRESTLINE CO INC,747.1199999999999,0.0,2
RENTAL SERVICE CORP,745.66,1.0,2
LLOYD MORRISON INC,740.0,0.0,2
SOUTHERN LOCK & SUPPLY CO,731.6,20.0,1
XEROX CORPORATION,730.8,0.0,1
ALAMO WELDING SUPPLY CO INC,729.76,395.56,3
Blacksmith Industries Inc,725.0,0.0,1
VDAL ENTERPRISES INC,725.0,100.0,1
UNISOURCE WORLDWIDE INC,715.0,0.0,1
KEITH T RICCHINI,704.35,0.0,1
INDUSTRIAL DISPOSAL SUPPLY CO INC,701.0,0.0,1
"Indepth Utility Solutions, LLC",690.0,2.0,1
CTN EDUCATIONAL SERVICES INC,680.0,2.0,6
"Quality Logo Products, Inc.",672.38,800.0,3
"Security Design, Inc. DBA EO Integrated Systems, Inc.",672.0,2.0,1
"Killer Apparel Group, Inc.",670.4,32.0,1
DRIESSEN WATER INC,669.7,10.0,2
WABASH NATIONAL TRAILER,656.2,28.0,1
TESSCO INC,655.5,210.0,3
"Wayside Productions, Inc.",650.0,200.0,3
Eye in the Sky,650.0,0.0,1
GLOBAL PROMOTIONS & INCENTIVES,646.86,0.0,1
CMC CUSTOM GIFTS INC,642.01,0.0,1
Waters Technologies Corporation,641.25,1.0,1
CROP PRODUCTION SERVICES INC,640.64,7.0,1
"BETA TECHNOLOGY, INC",640.0,24.0,1
"Custom Branded Sportswear, Inc.",634.34,0.0,1
RUBBER-CAL,621.0,0.0,1
"Air Relief Technologies, Inc.",619.56,108.0,3
TSE INTERNATIONAL INC,614.0,1.0,1
"Level 3 Financial, Inc.",612.28,0.0,1
FIRE SAFETY SERVICES LLC,612.0,0.0,1
COMPLETE BOOK & MEDIA SUPPLY INC,610.95,0.0,1
LITE-ON TECHNOLOGY USA INC,608.1,8.0,2
"Knight Security Systems, LLC",603.45,5.0,3
ALAMO IRON WORKS INC,602.5,25.0,1
OSHKOSH TRUCK CORP,600.98,0.0,1
ADCO ADVERTISING SPECIALTIES INC.,600.0,0.0,1
ForeFlight LLC,600.0,0.0,1
AUSTIN FREE-NET,600.0,3.0,1
JEFFREY AARON SEANEY,590.0,1.0,1
FURNITURE FOR BUSINESS,588.51,1.0,1
Mega Mac Works Inc,588.12,1.0,1
NORTH AMERICAN COMMUNICATIONS RESOURCE INC,585.12,2.0,1
PUKKA INC,585.0,0.0,1
ROSE MARIE CISNEROS,585.0,30.0,1
MCCOY'S LAWN EQUIPMENT CENTER INC,582.7099999999999,49.0,9
Medline Industries Inc,571.4,10.0,2
Headwaters Construction Materials,569.8,70.0,1
EQUIPMENT SOUTHWEST INC,564.74,1.0,1
OPUSKANE VEHICLE SUPPORT SOLUTIONS LTD,561.62,0.0,1
CRT AWARDS INC,558.0,23.0,2
CAD SUPPLIES SPECIALTY INC,555.0,1.0,1
HOLLAND USA INC,554.24,0.0,1
CARLSON ENTERPRISES,550.0,200.0,2
SAN ANTONIO ARMATURE WORKS INC,548.68,0.0,1
TEXAS ENTERPRISES INC,546.8,184.88,4
BOND'S TELEVISION INC,539.9,4.0,2
CLEVELAND MACK SALES INC,538.05,0.0,1
CHIEF,530.66,0.0,1
CAPITOL SCIENTIFIC INC,526.5699999999999,2.0,3
AUSTIN BOLT CO,524.8,160.0,1
COSTAR TECHNOLOGIES INC,517.0,1.0,1
PTL LAWN & CLEANING SERVICE INC,510.55,0.0,1
TYCO ELECTRONICS / PRINTED,507.26,10.0,3
HANSON EQUIPMENT CO,502.36,0.0,1
MAGID GLOVE & SAFETY MFG CO LLC,502.02,18.0,2
M-B COMPANIES INC OF WISCONSIN,500.09,1.0,1
FLOWPOINT ENVIRONMENTAL SYSTEMS INC,500.0,1.0,1
CALLAHAN'S GENERAL STORE INC,499.9,499.9,2
DUSTLESS AIR FILTER COMPANY INC,498.96,498.96,1
DAVID B AVINA,498.4,1780.0,1
WILLIAM G HALBRITTER JR,498.0,0.0,1
ACT PIPE & SUPPLY LTD,496.7,10.0,1
FIRE SAFETY MEDIA,496.7,496.7,1
RADWELL INTERNATIONAL INC.,484.72,2.0,1
Corix Water Products (US) Inc,484.44,6.0,1
SYSTEX INC,482.0,2.0,2
NICOLAS VENTURES INC,480.94,0.0,1
"Unified Supply & Services Co., Inc.",480.6,1.0,2
WORDYISMS INC,473.12,0.0,3
MIDWEST TAPE LLC,472.35,0.0,2
WAPA LLC,469.5,8.0,2
RL COLLINSON INC,467.5,11.0,1
VULCAN CONSTRUCTION MATERIALS,466.39,0.0,1
BL TECHNOLOGY INC,462.0,3.0,1
M & A TECHNOLOGY INC,454.95,0.0,1
BODY WORKS FITNESS EQUIPMENT INC,452.33,0.0,3
"YNIS, Inc",448.59,5.0,3
CORR TECH INC,445.9,3.0,2
"Design/Systems (Austin) Group, Inc.",440.0,0.0,1
AMERICAN PUBLIC WORKS ASSN,440.0,0.0,1
Modern Pools Inc,437.75,91.0,3
PEN POINT DESIGNS & PUBLICATIONS INC,437.5,0.0,1
"GENEVA SCIENTIFIC, INC.",437.5,0.0,1
THE WELLS GROUP INC,434.72,1.0,1
THE WHITLEY PRINTING COMPANY LLC,432.0,2500.0,1
"Service Lighting & Electrical Supplies, Inc",426.71999999999997,30.0,3
"Municipal Signs, Inc.",425.23,425.23,1
ILLINOIS TOOL WORKS INC,425.0,1.0,1
PATHMARK TRAFFIC PRODUCTS,424.0,20.0,2
SCOTT ELLIS FONDREN,420.0,30.0,1
"COOPER INDUSTRIES, CROUSE-HINDS AIRPORT LIGHTING PRODUCTS",418.48,1.0,1
AUSTIN TYPEWRITER & COMPUTER INC,417.0,0.0,1
ACE CONTRACTORS' SUPPLY INC,415.0,120.0,5
AUSTIN OUTDOOR POWER EQUIPMENT,407.25,1.0,1
"MIDWEST MEDICAL SUPPLY COMPANY, LLC",406.5,150.0,1
APPLIED DATA RESOURCES INC,404.22,3.0,1
BAKER & TAYLOR INC,403.76,0.0,4
S W DARBY ENT,400.0,0.0,1
TEMPERATURE CONTROL SYSTEMS INC,390.0,25.0,3
Iowa SFK Leasing,387.45,3.0,1
ARNOLD OIL COMPANY OF AUSTIN LP,386.12,0.0,1
COTHRON SECURITY SOLUTIONS LLC,372.6,4.0,1
"Dapa Enterprises, Inc.",372.0,600.0,1
INTERNATIONAL ROADWAY RESEARCH,370.0,0.0,1
"Tokyo Electron US Holdings, Inc.",368.55,0.0,1
Hewlett Packard Financial Services,368.0,0.0,1
William Orval Webb,364.39,1.0,1
TWG SOLUTIONS LLC,362.0,0.0,1
R-Water LLC,360.0,0.0,1
GORDON GRABILL,353.0,5.0,1
MINNESOTA IMPLAN GROUP INC,350.0,0.0,1
Brandt Mechanical Services Inc,347.81,0.0,1
"Tecan US, Inc.",334.3,0.0,1
AUS-TEX DUPLICATORS INC,333.28,0.0,2
STEVEN PATRICK BOICOURT,331.66,0.0,1
WW Peerless LLC,322.33,1.0,1
Marmon Wire & Cable Inc,320.0,1.0,1
APPLIED INDUSTRIAL TECHNOLOGIES INC,310.8,0.0,2
Eco Marketing Solutions LLC,310.3,0.0,1
ECONO AUTO PAINTING,307.0,0.0,1
LUCAS HOLDINGS LLC,300.0,0.0,1
TREE TOWN USA,300.0,0.0,1
BICYCLE SPORT SHOP INC,295.66,0.0,1
COLORADO ELECTRIC SUPPLY LIMITED,292.64,70.0,5
BLACKSTONE AUDIO BOOKS,289.41,0.0,1
DISTRIBUTOR OPERATIONS INC,287.64,36.0,1
MATERIALS PRODUCTS INT'L LTD,285.03,0.0,1
A-1 FORMS & PRINTING,276.25,0.0,1
HOME DEPOT SUPPLY,270.6,6.0,1
RIPPNER TENNIS LLC,268.87,0.0,1
HK FASTENER & SUPPLY INC,267.5,270.0,2
Mortara Instrument Inc,266.92,0.0,1
"BELLA BAGNO, INC",264.65999999999997,0.0,3
"Steve Mechler & Associates, Inc",260.0,4.0,1
LONE STAR OFFICE SUPPLIES INC,250.0,20.0,1
GREEN CREEK NURSERY INC,245.0,0.0,1
SECURITY SAFETY & SUPPLY INC,241.92,192.0,2
PRIMO PROMOTIONS LLC,240.0,1500.0,1
"Freight Security Net, Inc",239.7,0.0,1
Carla Jo Schaefer,237.0,0.0,1
ALLAN BAKER INC,235.0,1.0,2
WESTBROOK METALS INC,233.84,233.84,1
John R Russell,230.5,29.0,3
FLYING CIRCLE BAGS,229.15,3.0,3
WILLIAMSON COUNTY EQUIPMENT CO,226.2,4.0,3
Mapleleaf Promotions,225.0,0.0,1
IRON HORSE SAFETY SPECIALTIES LP,218.75,8.0,2
INDOFF INC,216.0,0.0,1
ADVANCED ORGANIC MATERIALS,210.0,0.0,1
SOUTHEASTERN EMERGENCY,200.0,10.0,1
SHANNON BIEBERDORF,199.0,0.0,1
AMERICAN LIBRARY ASSN,199.0,0.0,1
AUSTIN TYPEWRITER & COMPUTER,198.0,2.0,2
SETON,186.0,200.0,1
A-1 QUALITY BLUEPRINT & FAST COPY,184.0,0.0,1
PARNELL USA INC,179.0,20.0,1
HYDRAFLOW EQUIPMENT COMPANY,177.0,10800.0,1
MCCOY'S BUILDING SUPPLY,175.4,43.0,2
Horizon Distributors,173.89,0.0,1
CAPITOL AGGREGATES LTD,171.16,0.0,1
PEERLESS EQUIPMENT CO,167.3,0.0,1
Protection One Alarm Monitoring Inc,167.0,0.0,1
Susan Lori Heath,160.0,1.0,1
NATIONAL ASSOCIATION FOR INTERPRETATION,152.0,0.0,1
JOHN EVANS COMPANY,150.0,1.0,1
DANIEL A. HOSAGE JR,148.5,0.0,1
BOHLS EQUIPMENT CO/BOHLS BEARING,148.19,3.0,2
THE REINALT-THOMAS CORPORATION,148.0,2.0,2
ARNOLD OIL COMPANY OF AUSTIN L P,144.96,0.0,1
"Texas AirSystems, LLC",139.0,1.0,1
SSI EMERGENCY EQUIPMENT INC,136.5,15.0,1
AUSTIN REBUILDERS INC,136.09,3.0,3
Touchdown Sportswear & Promotions,127.87,0.979,2
AIRGAS INC,126.2,0.0,2
Yellow Bike Project,121.94,6.0,3
ANDON SPECIALTIES,120.0,0.0,1
FORD AUDIO-VIDEO SYSTEMS INC,113.75,1.0,1
Mark Pharr,110.0,0.0,2
CLEAN HARBORS ENVIRONMENTAL SERVICES INC,110.0,1.0,1
Audley Logan,104.0,2.0,2
BSM WIRELESS INC,99.0,1.0,1
International Surveillance Services,99.0,1.0,1
HUTTON COMMUNICATIONS INC,96.5,50.0,1
OAKLEY INC,92.36,5.0,5
John R. Neal & Associates Inc,84.24,2.0,1
VALVE SEALANT SUPPLY INC,83.1,0.0,1
RIVER CITY MARKETING INC,81.67,1.0,1
"EGAUGE SYSTEMS, LLC",81.0,1.0,1
AUSTIN COTTON COMPANY L L C,76.0,4.0,2
AMERICAN SOCIETY OF CIVIL ENGINEERS,75.0,1.0,1
CARMEN McDANIEL,70.0,2.0,1
"Bristlecone Ventures 2, LLC",70.0,2.0,1
GRACO AWARDS,67.0,100.0,2
CAPITAL AREA EMERGENCY COMMUNICATIONS DISTRICT,65.16,0.0,1
"Proforce Marketing, Inc",63.4,20.0,1
STRYKER CORP,63.3,1.0,1
ALLIED PLASTIC SUPPLY LLC,60.0,2.0,1
OSITECH COMMUNICATIONS INC,60.0,1.0,1
Bitech Inc,59.49,1.0,1
EZ SYSTEMZ INC,59.0,1.0,1
IMAGEWEAR,58.65,3.0,2
WESCO DISTRIBUTION INC,54.97,4.0,2
AUSTIN DODGE LTD,50.8,7.0,2
AMERESCO SOLAR-SOLUTIONS INC,49.4,2.0,1
SIGMA-ALDRICH INC,47.76,0.0,1
LOWE'S COMPANIES INC,45.199999999999996,45.199999999999996,2
"ZVS-Media, LLC",45.0,2.0,1
ROBERT MADDEN INDUSTRIES LTD,33.04,1.0,2
AMCON CONTROLS INC,32.14,0.0,2
LCR-M LIMITED PARTNERSHIP,31.5,0.0,2
OMB POLICE SUPPLY INC,29.97,3.0,2
PAPERCLIP PROMOTIONS LLC,26.61,0.0,1
AVTECH SOFTWARE INC,26.15,1.0,1
FIVE STAR ELECTRIC MOTORS,25.0,0.0,1
CINTAS CORPORATION,23.259999999999998,0.0,2
ACUITY SPECIALTY PRODUCTS INC,23.01,0.0,1
POMA OPERATING LLC,22.78,0.0,1
AFFORDABLE EQUIPMENT,20.0,0.0,1
GHC SPECIALTY BRANDS LLC,19.36,0.0,1
ANDRITZ SEPARATION INC,17.35,1.0,1
NOVA SAFETY PRODUCTS INC,15.0,15.0,1
NATIONAL FIREFIGHTER CORP,12.0,1.0,1
"NEWARK, DIVISION OF NEWARK CORP",10.16,20.0,1
KNOXVILLE GLOVE CO,10.0,1.0,1
ELITE CREATORS LLC,8.86,1.0,1
AIR CYCLE CORP,8.3,0.0,1
CROSS MATCH TECHNOLOGIES INC,7.0,0.0,1
LAIRD PLASTICS INC,2.0,0.0,1
